Date,USDARS (Argentina),AUDUSD (Australia),USDBAM (Bosnia & Herzegovina),USDBRL (Brazil),USDBGN (Bulgaria),USDCAD (Canada),USDCLP (Chile),USDCNY (China),USDCOP (Colombia),USDHRK (Croatia),USDCZK (Czech Republic),USDDKK (Denmark),USDEGP (Egypt),EURUSD (Eurozone),USDHKD (Hong Kong),USDHUF (Hungary),USDISK (Iceland),USDINR (India),USDIDR (Indonesia),USDILS (Israel),USDJPY (Japan),USDMYR (Malaysia),USDMXN (Mexico),NZDUSD (New Zealand),USDNOK (Norway),USDPEN (Peru),USDPHP (Philippines),USDPLN (Poland),USDQAR (Qatar),USDRON (Romania),USDRUB (Russia),USDSAR (Saudi Arabia),USDRSD (Serbia),USDSGD (Singapore),USDSKK (Slovakia),USDZAR (South Africa),USDKRW (South Korea),USDSEK (Sweden),USDCHF (Switzerland),USDTWD (Taiwan),USDTHB (Thailand),USDTRY (Turkey),USDAED (United Arab Emirates),GBPUSD (United Kingdom),USDVES (Venezuela),
31/01/2000,261.44,74.66,#N/A Mandatory parameter [SECURITY] cannot be empty,68.23,69.48,77.08,102.37,91.87,78.87,86.93,66.08,94.92,#N/A Mandatory parameter [SECURITY] cannot be empty,92.8,139.44,72.64,138.94,87.92,75.82,108.71,126.7,95.36,112.6,81.94,91.87,95.62,87.07,94.28,#N/A Mandatory parameter [SECURITY] cannot be empty,77.37,47.68,114.88,#N/A Mandatory parameter [SECURITY] cannot be empty,97.77,57.72,96.78,104.94,112.24,92.62,#N/A Mandatory parameter [SECURITY] cannot be empty,91.6,77.75,86.77,133.72,#N/A Mandatory parameter [SECURITY] cannot be empty,114.54
29/02/2000,262.34,72.47,,69.44,69.5,77.42,105.05,94.31,79.77,86.55,66.22,94.46,,91.22,140.21,72.36,139.58,89.2,75.3,110.84,121.59,96.68,114.44,79.89,93.83,96.76,88.76,93.51,,79.22,48.16,115.71,,97.65,59.37,94.86,106.53,112.57,92.09,,92.29,78.83,88.04,133.26,,116.2
31/03/2000,258.83,70.02,,71.47,68.67,77.05,107.37,92.55,80.47,86.37,65.72,94.01,,89.75,140.04,72.03,140.68,91.36,74.3,112.17,125.77,96.33,116.05,80.46,94.14,95.5,91.79,92.97,,79.38,49.19,115.31,,96.34,60.1,93.87,108.03,113.47,91.12,,91.58,78.17,88.28,132.57,,116.9
30/04/2000,260.21,68.53,,71.17,67.42,76.5,107.59,92.2,80.25,86.67,63.97,93.28,,88.32,140.1,71.72,142.35,92.98,71.87,112.16,127.52,96.33,115.62,82.04,93.94,95.05,90.24,93.51,,81.88,49.84,115.59,,96.92,60.14,93.28,108.27,114.04,92.14,,91.13,78.8,88.67,134.74,,117.45
31/05/2000,265.73,68.16,,70.04,66.87,75.87,107.13,93.16,79.21,86.83,63.18,92.7,,86.61,142.37,71.25,142.94,94.26,68.64,112.96,126.39,98.24,115.37,79.33,94.93,95.28,88.68,93.53,,83.77,52.79,118.1,,97.21,58.42,90.62,108.63,113.71,92.03,,90.66,79.71,91.01,132.3,,120.23
30/06/2000,260.78,70.21,,69.65,67.62,76.7,104.18,91.05,75.84,88.5,65.21,94.15,,89.76,140.28,72.2,139.43,91.69,65.92,111.75,127.33,97.07,111.18,78.33,94.42,92.69,87.9,94.55,,80.32,52.78,115.98,,96.34,58.83,90.65,108.07,114.31,93.44,,89.3,79.42,89.43,128.54,,119.3
31/07/2000,261.12,71.2,,71.37,67.88,76.84,101.81,91.13,74.3,89.35,65.97,93.57,,89.24,140.87,72.56,137.59,92.09,63.14,113,125.22,97.87,116.35,77.35,95.24,90.06,90.83,94.52,,82.12,54.83,116.37,,96.87,58.34,92.58,109.47,112.07,93.74,,87.42,78.48,90.2,128.58,,119.54
31/08/2000,262.31,71.64,,72.74,69.34,76.67,101.35,92.06,74.05,88.93,65.82,92.21,,86.73,140.99,71.78,137,91.37,69.33,115.26,126.01,98.05,119.33,75.56,96.37,89.79,92.06,93.8,,82.77,56.64,117.71,,98.82,57.96,93.24,110.58,110.59,92.03,,87.04,77.86,91.5,129.71,,120.18
30/09/2000,264.63,69.06,,72.28,69.82,76.8,99.95,94.11,73.78,88.8,64.86,91.55,,84.66,141.44,71.2,135.02,92.71,68.02,116.12,128.03,98.42,119.15,72.19,97.15,88.35,92.52,92.86,,82.65,58.11,118.6,,98.14,57.12,92.23,112.03,109.21,92.17,,85.23,81.64,92.62,128.12,,121.41
31/10/2000,268.33,66.45,,71.31,70.02,75.78,101.13,94.8,75.71,88.66,65.09,91.46,,83.45,142.83,71.12,134.79,94.48,67.14,115.97,127.18,99.69,117.97,70.86,97.59,84.92,91.64,92.82,,82.91,59.82,119.63,,98.54,56.37,89.51,111.73,107.19,92.5,,83.14,85.98,93.74,131.39,,123.27
