Date,USDARS (Argentina),AUDUSD (Australia),USDBAM (Bosnia & Herzegovina),USDBRL (Brazil),USDBGN (Bulgaria),USDCAD (Canada),USDCLP (Chile),USDCNY (China),USDCOP (Colombia),USDHRK (Croatia),USDCZK (Czech Republic),USDDKK (Denmark),USDEGP (Egypt),EURUSD (Eurozone),USDHKD (Hong Kong),USDHUF (Hungary),USDISK (Iceland),USDINR (India),USDIDR (Indonesia),USDILS (Israel),USDJPY (Japan),USDMYR (Malaysia),USDMXN (Mexico),NZDUSD (New Zealand),USDNOK (Norway),USDPEN (Peru),USDPHP (Philippines),USDPLN (Poland),USDQAR (Qatar),USDRON (Romania),USDRUB (Russia),USDSAR (Saudi Arabia),USDRSD (Serbia),USDSGD (Singapore),USDSKK (Slovakia),USDZAR (South Africa),USDKRW (South Korea),USDSEK (Sweden),USDCHF (Switzerland),USDTWD (Taiwan),USDTHB (Thailand),USDTRY (Turkey),USDAED (United Arab Emirates),GBPUSD (United Kingdom),USDVES (Venezuela),
03/01/2000,104.5725,93.0314,#N/A Invalid Security,75.4395,#N/A Invalid Security,105.6601,95.0015,107.3148,96.8545,#N/A Invalid Security,86.9349,86.2477,#N/A Invalid Security,118.0276,100.2267,94.753,99.9032,104.8794,135.5737,#N/A N/A,106.385,98.6717,125.9173,101.4479,97.4555,101.4467,103.7429,92.9915,#N/A Invalid Security,#N/A Invalid Security,81.7778,#N/A Invalid Security,#N/A Invalid Security,96.645,#N/A Invalid Security,103.8351,108.1441,94.9442,84.3049,104.2097,99.3928,121.9911,#N/A Invalid Security,101.3349,#N/A Invalid Security,
04/01/2000,104.5995,93.5299,,74.1681,,105.2203,94.7579,107.3234,96.1012,,86.7332,86.6505,,117.4319,100.2044,96.1954,100.5021,104.9538,133.973,#N/A N/A,104.5369,98.6619,125.1059,102.5437,96.7377,101.4715,104.318,93.0895,,,81.355,,,96.6318,,104.5632,108.647,94.8869,84.8163,106.9662,98.8395,123.246,,101.3468,,
05/01/2000,104.6054,93.1192,,74.682,,105.4202,94.6686,107.3336,95.255,,87.0944,86.8567,,117.1592,100.2007,96.3343,100.4468,105.0049,133.6163,#N/A N/A,103.5898,98.6547,125.171,102.3878,96.7848,101.5541,103.3605,93.0859,,,82.1252,,,96.5425,,104.9559,107.4731,95.0361,85.279,106.2992,99.0366,123.3956,,100.9391,,
06/01/2000,104.6323,93.7764,,74.6106,,104.7016,95.2204,107.3462,95.1679,,87.1095,86.8995,,117.0919,100.2004,96.3733,100.2381,104.9,132.1587,#N/A N/A,102.4936,98.6552,125.1157,103.5041,96.7965,101.8813,102.3704,94.1179,,,81.5353,,,96.1119,,104.7967,106.3709,94.9732,85.0125,105.9962,97.9818,123.6789,,100.6445,,
07/01/2000,104.6382,93.549,,75.2305,,104.993,95.6781,107.361,95.7807,,87.2739,86.6741,,117.4791,100.202,96.0965,100.1559,104.8932,133.2854,#N/A N/A,102.3636,98.6454,125.3724,102.9258,96.3979,101.8659,102.8052,94.2959,,,81.5587,,,96.2838,,105.1856,107.1878,94.4588,84.3793,105.9922,98.7276,123.0532,,101.1415,,
10/01/2000,104.6652,93.3794,,75.7567,,104.9897,96.0659,107.3698,95.7458,,87.0728,86.2841,,117.9382,100.1905,95.7058,99.8109,104.9351,133.117,#N/A N/A,102.516,98.6226,126.6899,103.2671,95.9474,101.9667,103.091,94.4383,,,79.5675,,,96.259,,104.9022,107.5889,94.0946,84.1076,106.0582,98.7491,122.8429,,101.2584,,
11/01/2000,104.6817,93.1394,,75.4777,,104.8925,96.0782,107.3794,95.8633,,87.7455,86.9993,,117.0373,100.1842,96.3536,100.4091,104.9886,130.9438,#N/A N/A,101.7285,98.6128,126.1838,102.8304,96.5909,102.0365,102.0926,94.5931,,,78.3378,,,95.8137,,104.6199,106.3908,94.6653,84.6931,106.0658,97.6444,123.1514,,100.6371,,
12/01/2000,104.6875,93.0135,,75.2788,,105.1127,96.6401,107.3875,95.6573,,87.4647,86.7168,,117.3557,100.1838,96.0151,100.8731,104.9577,132.0494,#N/A N/A,101.8596,98.6055,126.1192,102.5749,96.6271,102.0501,102.1992,94.6433,,,77.9515,,,95.7776,,105.1136,106.5522,94.6396,84.4572,106.0359,97.9658,123.278,,100.6916,,
13/01/2000,104.7145,91.7333,,75.9236,,105.3486,97.1173,107.3928,95.1204,,86.8685,86.2859,,117.9514,100.1837,95.8682,100.5935,104.939,132.2508,#N/A N/A,101.4722,98.5931,126.6387,101.7732,96.7899,102.3409,102.3186,94.6359,,,78.2324,,,95.7872,,105.1882,107.3959,94.4262,83.9597,105.9957,98.2246,122.9702,,100.6545,,
14/01/2000,104.7204,92.0379,,76.3497,,105.4034,97.3914,107.404,94.9522,,85.9989,85.1049,,119.5489,100.1833,94.7084,100.0241,105.0291,134.1635,#N/A N/A,101.7369,98.5963,127.1982,102.1854,96.1407,102.7618,102.3624,94.4886,,,78.2549,,,95.4421,,105.02,109.0796,93.7666,82.7297,105.9288,98.207,121.588,,101.6356,,
17/01/2000,104.7474,92.2471,,76.8966,,105.4291,98.0656,107.4191,94.8575,,85.7243,85.0835,,119.5613,100.1797,94.2887,99.7909,105.0098,131.3781,#N/A N/A,102.6549,98.5761,127.6545,102.5416,95.7824,102.7606,102.468,94.4817,,,78.2501,,,95.4171,,104.9767,108.8051,93.861,82.649,105.9058,98.2554,122.2605,,101.511,,
18/01/2000,104.7639,92.082,,76.9106,,105.3528,97.3573,107.428,94.2726,,86.0359,85.2219,,119.3965,100.1781,94.5439,99.834,105.0489,131.3976,#N/A N/A,101.8838,98.5637,128.0226,103.0794,96.3562,102.7153,102.3868,94.2778,,,78.3821,,,95.4319,,104.7267,108.2257,93.9258,82.8644,105.9277,98.5128,122.3677,,101.2257,,
19/01/2000,104.7059,92.3054,,77.0081,,105.2408,97.2111,107.4321,94.9953,,85.8477,85.1853,,119.456,100.176,94.5369,99.8908,104.9956,130.29,#N/A N/A,102.1996,98.5538,127.8723,103.5016,96.2461,102.4941,102.154,94.0225,,,78.5969,,,95.3327,,104.3873,107.5578,93.7346,82.7731,105.9157,98.4012,122.435,,100.7885,,
20/01/2000,104.7688,92.0293,,77.4299,,105.6232,97.2441,107.4431,94.3736,,86.0949,85.4651,,119.057,100.1808,94.5862,99.9201,104.9063,131.4355,#N/A N/A,102.0313,98.557,127.674,103.4832,96.5712,102.537,102.2989,94.5183,,,78.6332,,,95.4723,,104.6527,108.3231,93.9871,83.1989,105.9381,98.6574,122.5671,,100.2577,,
21/01/2000,104.7901,92.4332,,77.8785,,106.0014,97.4192,107.4502,94.3675,,85.7236,84.8501,,119.8948,100.1747,94.3022,99.8532,105.0137,130.3753,#N/A N/A,102.6802,98.5333,127.3126,104.1526,96.1301,102.7561,102.4305,94.569,,,78.711,,,95.0775,,104.0775,108.1297,93.6202,82.5759,105.9588,98.7966,122.2525,,100.5614,,
24/01/2000,104.7797,93.6497,,77.8621,,105.8294,96.7296,107.4659,94.1432,,85.6856,84.644,,120.2166,100.1696,93.7023,99.5118,104.8657,130.3912,#N/A N/A,101.8888,98.5251,126.5147,105.2242,96.0625,102.8728,102.7281,94.273,,,78.8096,,,94.8497,,103.5793,108.3275,93.1588,82.3772,105.9678,98.6702,121.8985,,100.2933,,
25/01/2000,104.7856,93.4937,,77.6777,,106.3791,97.2579,107.4779,93.99,,85.3009,84.1289,,120.9857,100.1737,93.9541,99.5824,104.9308,130.0531,#N/A N/A,101.4143,98.5153,126.5476,104.8321,95.5761,102.8422,102.858,93.3881,,,78.7287,,,94.6399,,103.7056,108.1827,92.8143,81.7916,105.9612,98.5838,122.0324,,100.7746,,
26/01/2000,104.802,93.9391,,77.6992,,106.1395,97.2711,107.4918,92.9909,,85.4538,84.202,,120.877,100.1589,93.5788,99.5297,105.0069,128.1531,#N/A N/A,101.7562,98.5029,126.9507,104.896,95.3622,103.2272,102.7484,93.5634,,,78.5655,,,94.2247,,103.4956,108.135,93.3005,81.8347,106.0069,97.893,122.0336,,101.0754,,
27/01/2000,104.8126,93.6816,,77.6615,,106.4842,97.2183,107.5012,92.3813,,84.6119,83.0519,,122.5648,100.1557,92.4841,99.1638,105.0491,128.9463,#N/A N/A,102.256,98.4931,126.5599,105.6256,94.4457,103.5981,103.0184,93.017,,,78.6706,,,94.3787,,102.6638,108.2293,92.1899,80.6791,106.0429,98.2512,121.2015,,101.1181,,
28/01/2000,104.8185,96.5016,,76.8821,,105.6266,97.185,107.5561,92.8302,,83.3635,81.9174,,124.2747,100.1553,91.3278,98.0244,104.9326,128.0141,#N/A N/A,100.3143,98.4961,126.0279,108.2901,92.6835,103.1073,102.8559,92.114,,,78.5351,,,93.2895,,100.7925,108.4689,89.542,79.7773,106.2768,97.695,120.835,,102.3352,,
