Date,USDARS (Argentina),AUDUSD (Australia),USDBAM (Bosnia & Herzegovina),USDBRL (Brazil),USDBGN (Bulgaria),USDCAD (Canada),USDCLP (Chile),USDCNY (China),USDCOP (Colombia),USDHRK (Croatia),USDCZK (Czech Republic),USDDKK (Denmark),USDEGP (Egypt),EURUSD (Eurozone),USDHKD (Hong Kong),USDHUF (Hungary),USDISK (Iceland),USDINR (India),USDIDR (Indonesia),USDILS (Israel),USDJPY (Japan),USDMYR (Malaysia),USDMXN (Mexico),NZDUSD (New Zealand),USDNOK (Norway),USDPEN (Peru),USDPHP (Philippines),USDPLN (Poland),USDQAR (Qatar),USDRON (Romania),USDRUB (Russia),USDSAR (Saudi Arabia),USDRSD (Serbia),USDSGD (Singapore),USDSKK (Slovakia),USDZAR (South Africa),USDKRW (South Korea),USDSEK (Sweden),USDCHF (Switzerland),USDTWD (Taiwan),USDTHB (Thailand),USDTRY (Turkey),USDAED (United Arab Emirates),GBPUSD (United Kingdom),USDVES (Venezuela),DXY In (United States)
03/01/2000,40,94.99041814,#N/A N/A,24.85644445,71.06524725,10.93498134,1.611721612,62.5,16.6291118,77.92928764,72.70202597,66.39435969,#N/A N/A,35.87715327,71.31443299,79.8158082,40.4686704,81.67716917,33.6963858,5.608283003,36.2248996,84.54545455,68.28380386,94.56991351,44.73877231,92.12626728,21.16497773,25.36480696,61.42857143,91.68548198,88.14479638,44.22222222,99.05691057,17.9601562,57.19360904,63.98121975,40.82112743,55.54775472,74.14949799,4.514193722,10.95230528,89.85637672,76.2962963,64.07451387,100,50.12137112
04/01/2000,56,91.58643612,#N/A N/A,34.72233789,61.69024725,15.03083463,3.676703561,67.33333333,29.4348672,68.9077042,58.12605222,53.23249882,#N/A N/A,47.92152444,77.5,63.89879151,40.4686704,79.2535143,35.30132407,5.525231506,41.92771084,88.18181818,76.27043091,91.11180988,38.74347306,92.41198157,17.49906692,24.80677237,61.42857143,95.14511954,85.42986425,52.22222222,#N/A N/A,19.04551234,45.43535356,55.73154422,32.05530457,46.01238396,58.30775107,5.173258859,13.15612377,84.1505251,76.2962963,70.50234132,100,40.3541024
05/01/2000,76,90.43441938,#N/A N/A,44.93648806,47.27174908,16.27633339,6.564790204,73.33333333,41.00719424,54.28849961,39.17256385,40.20546233,#N/A N/A,59.74245487,86.45833333,48.8370649,37.06249325,78.28405235,38.54294664,10.09193339,53.89948142,88,82.2470489,88.9898728,32.89153107,90.06912442,19.88436249,24.25333002,61.71428571,95.14511954,80.99547511,58.22222222,#N/A N/A,19.7836739,35.16547191,41.10740354,31.25061032,36.54881694,41.45964239,8.99212658,14.45426245,76.57000202,75.55555556,76.83555433,100,31.7357542
06/01/2000,92,84.80941938,#N/A N/A,54.77416084,29.78735467,22.20498171,6.564790204,76,58.27338129,37.38994889,21.74233129,30.15153254,#N/A N/A,69.13395982,94.16666667,33.44684638,33.29501073,76.58749394,50.05970149,13.49792141,62.78222551,75.69230769,85.87862268,82.48520184,31.37153635,85.40245776,31.13207197,20.74595589,61.71428571,95.01010909,79.2760181,59.11111111,#N/A N/A,25.24726324,25.89009811,28.99784727,43.38462098,28.09912602,28.62358265,14.36573548,19.99643295,69.74127507,75.55555556,84.97838104,100,25.1339716
07/01/2000,92,80.97222222,#N/A N/A,61.94456714,13.92648511,27.30593607,4.953068592,74.66666667,71.5691646,24.22224703,4.441717791,20.03874197,87.50285329,79.02371355,99.22935103,24.55090465,32.75888019,76.36581343,54.28571429,20.20053476,70.62740231,73.38461538,87.79700863,78.50899743,29.60089204,82.06912442,38.70031941,14.85725169,61.71428571,94.47020299,77.55656109,62,79.25203252,28.76100687,15.81355274,16.4826534,42.13322709,22.46134335,20.57004835,17.56469074,23.4433004,64.58299001,73.63636364,88.67439252,100,19.46825344
10/01/2000,88,79.074672,#N/A N/A,62.17677244,10.62901736,31.41552511,4.953068592,69.33333333,82.69899383,21.30313515,4.982679727,23.97633651,82.20938706,74.9462312,99.6460177,24.19294419,37.27272727,77.00951951,62,22.1657754,86.20572428,68.76923077,83.57050453,73.39444,41.16289012,76.71428571,48.38573203,12.57578957,61.71428571,97.9342723,80.62378798,62,79.25203252,36.545961,15.90123369,12.70137753,47.12517341,29.36353372,23.73327737,20.73131955,26.37532952,62.68390972,73.31890332,85.08704557,100,27.73608268
11/01/2000,88,80.86228987,#N/A N/A,57.36774809,14.31597388,33.37899543,2.888086643,64,84.48398577,28.20225702,1.767955801,24.8454756,78.79742693,73.79985933,99.6460177,27.23508452,38.63636364,79.21170012,72,22.58947213,89.38731291,64.15384615,77.26390686,72.36124573,42.18041898,73.14285714,65.13422471,11.74031862,61.71428571,97.23004695,77.24734955,64,79.25203252,43.78830084,16.16261005,17.01480214,60.46000865,32.43816757,26.89189189,24.59459459,31.47833299,63.2389817,72.78980279,86.31767868,100,30.43189369
12/01/2000,88,81.23177673,#N/A N/A,56.48906216,18.88695652,35.39997415,0,61.33333333,81.37603796,35.95031056,3.795353061,25.99702275,74.92248062,72.67503829,99.6460177,29.96878252,35.79545455,85.24430494,76.05714286,19.99918397,88.95439234,60,74.09443726,71.12637777,44.4845893,69.92207792,73.82750724,11.0796915,66.34285714,96.44955914,79.41102642,66,79.26829268,52.05013928,17.21387882,19.2061376,64.32733536,36.62438855,31.55405405,25.53259141,36.65278718,64.10243966,73.21308321,85.7367387,100,32.72080719
13/01/2000,88,86.27706658,#N/A N/A,51.24503789,23.37391304,31.43088388,0,62.66666667,81.37603796,43.7515528,10.18804713,29.49991255,69.2248062,69.04553337,99.48341607,33.40270552,34.74711908,87.61573742,75.00952381,15.05798215,89.99493421,67.69230769,68.11125485,74.26326992,45.54490116,66.17001181,74.11112887,13.29294798,71.25714286,97.74063896,77.22131805,68,79.23577236,57.26682205,19.63749353,18.86633692,54.92272467,40.9094438,37.7027027,25.24642289,36.39977759,68.22444868,73.3982684,85.65815324,100,37.16008367
14/01/2000,88,88.61704243,#N/A N/A,46.08588957,24.8,28.94932435,0,66.66666667,86.78529063,#N/A N/A,23.06475945,38.89968357,#N/A N/A,60.15836044,99.35739837,41.68574402,38.81882202,85.92447133,71.95047619,8.457188883,90.4639591,67.69230769,60.69210867,74.15183733,49.11805598,56.42001181,77.3988245,17.03731135,76.17142857,89.14115112,75.03160968,68,99.04065041,68.47266203,26.07457276,21.62620528,44.93989697,46.75740137,47.80405405,25.23052464,40.92833512,75.18555717,74.76190476,82.18332313,100,45.33800911
