Date,USDARS (Argentina),AUDUSD (Australia),USDBAM (Bosnia & Herzegovina),USDBRL (Brazil),USDBGN (Bulgaria),USDCAD (Canada),USDCLP (Chile),USDCNY (China),USDCOP (Colombia),USDHRK (Croatia),USDCZK (Czech Republic),USDDKK (Denmark),USDEGP (Egypt),EURUSD (Eurozone),USDHKD (Hong Kong),USDHUF (Hungary),USDISK (Iceland),USDINR (India),USDIDR (Indonesia),USDILS (Israel),USDJPY (Japan),USDMYR (Malaysia),USDMXN (Mexico),NZDUSD (New Zealand),USDNOK (Norway),USDPEN (Peru),USDPHP (Philippines),USDPLN (Poland),USDQAR (Qatar),USDRON (Romania),USDRUB (Russia),USDSAR (Saudi Arabia),USDRSD (Serbia),USDSGD (Singapore),USDSKK (Slovakia),USDZAR (South Africa),USDKRW (South Korea),USDSEK (Sweden),USDCHF (Switzerland),USDTWD (Taiwan),USDTHB (Thailand),USDTRY (Turkey),USDAED (United Arab Emirates),GBPUSD (United Kingdom),USDVES (Venezuela),DXY In (United States)
03/01/2000,1,0.6585,#N/A N/A,1.819,1.9194,1.4468,528,8.2798,1877.5,7.5916,35.18,7.264,3.4417,1.0243,7.7759,250.56,72.24,43.53,7040,4.1179,101.45,3.8,9.505,0.525,7.8884,3.52,39.99,4.125,3.6408,1.811,27.35,3.7504,11.61,1.656,41.682,6.1315,1127.5,8.3767,1.567,31.388,37.02,0.5415,3.6731,1.6362,0.0002,100.22
04/01/2000,0.9999,0.655,#N/A N/A,1.851,1.8973,1.4528,529.43,8.2799,1892.5,7.4734,35.261,7.2296,3.4417,1.0296,7.7775,246.88,71.82,43.505,7125,4.115,103.22,3.8,9.5713,0.5194,7.9469,3.5205,39.775,4.1225,3.6408,1.832,27.5,3.7504,11.61,1.656,41.1105,6.09,1122.25,8.381,1.5573,30.576,37.225,0.5367,3.673,1.636,0.0002,100.41
05/01/2000,1,0.6579,#N/A N/A,1.839,1.891,1.45,530,8.2798,1910,7.4495,35.114,7.2118,3.4417,1.0321,7.7778,246.6,71.87,43.49,7145,4.1512,104.14,3.7999,9.571,0.5202,7.943,3.519,40.15,4.1245,3.6409,1.8345,27.25,3.7504,11.61,1.6573,41.0175,6.0684,1134.5,8.3671,1.5486,30.765,37.15,0.5367,3.673,1.6426,0.0002,100.38
06/01/2000,0.9999,0.6533,#N/A N/A,1.8415,1.8882,1.4599,527,8.2797,1912.4,7.4416,35.107,7.2076,3.4417,1.0328,7.7778,246.57,72.03,43.54,7225,4.1562,105.23,3.7995,9.58,0.5146,7.942,3.509,40.545,4.081,3.6408,1.829,27.455,3.7504,11.61,1.6645,40.974,6.0788,1146.25,8.3719,1.5532,30.85,37.55,0.5361,3.673,1.6474,0.0002,100.48
07/01/2000,1,0.6549,#N/A N/A,1.827,1.8989,1.4558,524.55,8.2794,1901,7.5039,35.04,7.2257,3.427,1.0295,7.7776,247.35,72.1,43.55,7165,4.1695,105.34,3.7995,9.565,0.5175,7.9748,3.511,40.38,4.075,3.6408,1.8322,27.455,3.7505,11,1.6613,41.1115,6.0575,1137.5,8.4167,1.5646,30.848,37.265,0.5395,3.673,1.6393,0.0002,100.72
10/01/2000,0.9999,0.6561,#N/A N/A,1.815,1.9033,1.4558,522.5,8.2794,1902.5,7.5416,35.12,7.2577,3.4262,1.0256,7.7784,248.43,72.36,43.54,7175,4.1249,105.16,3.8,9.47,0.5158,8.0122,3.509,40.275,4.0705,3.6408,1.8335,28.15,3.7504,11.609,1.6615,41.2175,6.075,1133.25,8.4485,1.5694,30.825,37.255,0.5411,3.6731,1.6374,0.0002,100.99
11/01/2000,0.9999,0.6578,#N/A N/A,1.8225,1.8976,1.4571,522.5,8.2795,1901,7.5175,34.85,7.1974,3.427,1.0336,7.7788,246.83,71.94,43.525,7295,4.1181,105.95,3.8,9.5125,0.518,7.9588,3.508,40.675,4.0655,3.6408,1.8315,28.6,3.7505,11.609,1.669,40.96,6.0925,1146,8.3968,1.5583,30.819,37.675,0.5404,3.673,1.6475,0.0002,100.56
12/01/2000,1,0.6587,#N/A N/A,1.828,1.9013,1.454,519.53,8.2796,1905.85,7.5365,34.961,7.2202,3.4219,1.0309,7.7788,247.77,71.62,43.545,7235,4.1224,105.79,3.7999,9.522,0.5193,7.9558,3.509,40.64,4.065,3.6408,1.8313,28.75,3.7505,11.6095,1.6694,41.119,6.065,1144.25,8.3983,1.5624,30.824,37.55,0.5405,3.6731,1.6466,0.0002,100.62
13/01/2000,0.9999,0.6679,#N/A N/A,1.8133,1.9011,1.4507,517.05,8.2798,1917,7.5358,35.2,7.2556,3.427,1.0258,7.7787,248.22,71.83,43.56,7225,4.1153,106.17,3.8,9.4875,0.5234,7.9424,3.5005,40.6,4.067,3.6408,1.835,28.655,3.7505,11.609,1.669,41.208,6.0618,1135.25,8.4165,1.5714,30.832,37.45,0.5425,3.6731,1.6472,0.0002,101
14/01/2000,1,0.6657,#N/A N/A,1.804,1.903,1.4499,515.67,8.2797,1921,7.5358,35.555,7.3556,3.427,1.0122,7.7787,251.33,72.25,43.53,7123,4.1158,105.87,3.7995,9.4503,0.5213,7.996,3.4875,40.59,4.075,3.6408,1.7973,28.655,3.7505,11.609,1.6748,41.733,6.0725,1117.71,8.4749,1.5945,30.847,37.455,0.5493,3.6731,1.6313,0.0002,101.72
