Date,USDARS (Argentina),AUDUSD (Australia),USDBAM (Bosnia & Herzegovina),USDBRL (Brazil),USDBGN (Bulgaria),USDCAD (Canada),USDCLP (Chile),USDCNY (China),USDCOP (Colombia),USDHRK (Croatia),USDCZK (Czech Republic),USDDKK (Denmark),USDEGP (Egypt),EURUSD (Eurozone),USDHKD (Hong Kong),USDHUF (Hungary),USDISK (Iceland),USDINR (India),USDIDR (Indonesia),USDILS (Israel),USDJPY (Japan),USDMYR (Malaysia),USDMXN (Mexico),NZDUSD (New Zealand),USDNOK (Norway),USDPEN (Peru),USDPHP (Philippines),USDPLN (Poland),USDQAR (Qatar),USDRON (Romania),USDRUB (Russia),USDSAR (Saudi Arabia),USDRSD (Serbia),USDSGD (Singapore),USDSKK (Slovakia),USDZAR (South Africa),USDKRW (South Korea),USDSEK (Sweden),USDCHF (Switzerland),USDTWD (Taiwan),USDTHB (Thailand),USDTRY (Turkey),USDAED (United Arab Emirates),GBPUSD (United Kingdom),USDVES (Venezuela),DXY In (United States)
03/01/2000,55.5115,75.6739,#N/A N/A,36.5508,51.5337,29.6234,24.56,65.7212,38.06,54.8893,42.0454,44.5768,67.7277,55.1634,61.4002,49.25,49.74,56.3542,44,32.1389,39.39,53.3922,60.8832,65.7182,41.2398,69.1207,32.268,40.5339,50.2785,65.4851,67.652,51.9395,82.9525,29.8817,44.9215,44.2212,38.37,42.8055,45.0376,20.892,22.118,77.1306,52.1157,63.6556,#N/A N/A,38.02
04/01/2000,53.1798,66.7755,#N/A N/A,51.5387,43.8739,37.8689,31.19,67.5074,48.06,44.1672,44.0432,41.6656,67.7277,58.2273,65.1443,37.56,44.11,51.5003,51,31.6388,52.08,53.3922,66.9325,56.7703,47.4041,69.3117,27.281,40.1279,50.2785,72.4433,71.3191,51.9395,82.9525,29.8817,37.4024,32.2565,35.3,43.2652,41.0475,6.111,29.736,63.7925,45.7323,63.4702,#N/A N/A,40.35
05/01/2000,55.2061,69.9305,#N/A N/A,47.0503,41.9593,35.7631,33.69,63.9205,56.83,42.3651,41.2632,40.2026,67.7277,59.6288,65.8138,36.85,44.91,48.7852,53,43.465,57.11,51.512,66.8821,57.6572,47.0497,67.954,43.642,40.6402,52.131,73.1375,59.2609,51.9395,82.9525,32.4255,36.3365,28.0088,46.12,42.0876,37.8118,20.254,28.632,63.7925,45.7323,66.897,#N/A N/A,40.1
06/01/2000,52.7476,60.17,#N/A N/A,48.065,41.1008,46.9878,27.93,60.4609,57.88,41.7586,41.1301,39.847,67.7277,60.0331,65.8138,36.76,47.5,56.9353,58,44.8833,62.17,44.727,67.6687,49.934,46.9528,59.5758,55.101,33.8549,50.1201,69.0177,64.5533,51.9395,82.9525,44.4467,35.8223,32.6103,54.06,42.6679,40.4832,25.676,41.171,62.2324,45.7323,69.1626,#N/A N/A,41.43
07/01/2000,54.9101,62.1489,#N/A N/A,42.9265,45.675,43.5906,24.29,51.4622,51.47,48.0721,39.8062,42.2186,53.8124,57.1284,64.8506,40.43,48.63,58.3625,53,48.5787,62.65,44.727,64.9019,53.4141,50.5509,60.6215,50.484,33.0356,50.1201,70.074,64.5533,57.2969,20.6648,40.9591,38.7718,28.581,48.35,47.9139,46.6049,25.632,36.28,67.1371,45.7323,61.5117,#N/A N/A,44.63
10/01/2000,52.331,63.6093,#N/A N/A,39.1923,47.4812,43.5906,21.73,51.4622,52.22,51.4984,42.1985,46.2531,53.1721,53.8144,66.9352,45.16,52.73,56.3514,54,39.1093,61.28,53.5892,50.7496,51.1687,54.3529,58.9785,47.742,32.4023,50.1201,70.5137,76.5376,51.1558,56.1034,41.2693,41.0222,35.6193,45.82,51.319,48.9843,25.097,36.118,69.1664,53.4082,59.8395,#N/A N/A,48.06
11/01/2000,52.331,65.6322,#N/A N/A,42.5558,45.3764,45.0515,21.73,54.103,51.37,49.2607,36.8722,40.5127,53.7645,59.0606,67.9584,40.08,46.31,53.38,62,37.8964,64.9,53.5892,55.4318,53.8712,48.6065,58.1301,57.264,31.6756,50.1201,68.8377,81.0136,56.2102,56.1034,51.5489,37.4238,41.7965,53.66,46.0483,44.0913,24.951,46.859,67.2109,46.3482,65.2478,#N/A N/A,43.44
12/01/2000,54.7935,66.688,#N/A N/A,44.9601,47.0182,42.2421,18.46,56.6434,53.99,51.0659,40.2132,43.3743,49.4679,56.719,67.9584,44.06,42.1,56.6613,57,39.1809,63.61,51.6677,56.4289,55.4405,48.2975,58.7688,56.298,31.5993,50.1201,68.6619,82.2305,56.2102,56.122,52.0311,40.8727,35.9579,52.53,46.2209,46.2279,25.341,44.463,67.3529,53.0342,64.4154,#N/A N/A,44.25
13/01/2000,51.9059,75.1065,#N/A N/A,40.126,46.9361,39.4238,16.27,61.2616,59.4,50.994,46.7483,47.59,53.4722,52.4859,67.3541,45.92,45.59,58.9926,56,37.791,65.38,53.4646,51.8886,60.056,46.8647,51.5681,55.152,32.3019,50.1201,70.1789,78.7864,56.2102,56.0963,51.4793,42.774,35.3393,47.07,48.3785,50.6832,26.004,42.587,70.1383,53.0342,64.7384,#N/A N/A,49.18
14/01/2000,54.4888,70.5172,#N/A N/A,37.3872,47.8677,38.7488,15.18,57.9385,61.17,50.994,54.6735,57.2679,53.4722,43.222,67.3541,56.62,51.85,52.8674,48,37.9579,62.78,44.5466,47.4549,56.8102,52.8856,42.9088,54.851,35.1705,50.1201,45.8338,78.7864,56.2102,56.0963,58.3727,52.4807,39.1114,38.64,54.6639,59.8731,27.308,42.717,77.2463,53.0342,51.4191,#N/A N/A,56.96
