Date,USDARS (Argentina),AUDUSD (Australia),USDBAM (Bosnia & Herzegovina),USDBRL (Brazil),USDBGN (Bulgaria),USDCAD (Canada),USDCLP (Chile),USDCNY (China),USDCOP (Colombia),USDHRK (Croatia),USDCZK (Czech Republic),USDDKK (Denmark),USDEGP (Egypt),EURUSD (Eurozone),USDHKD (Hong Kong),USDHUF (Hungary),USDISK (Iceland),USDINR (India),USDIDR (Indonesia),USDILS (Israel),USDJPY (Japan),USDMYR (Malaysia),USDMXN (Mexico),NZDUSD (New Zealand),USDNOK (Norway),USDPEN (Peru),USDPHP (Philippines),USDPLN (Poland),USDQAR (Qatar),USDRON (Romania),USDRUB (Russia),USDSAR (Saudi Arabia),USDRSD (Serbia),USDSGD (Singapore),USDSKK (Slovakia),USDZAR (South Africa),USDKRW (South Korea),USDSEK (Sweden),USDCHF (Switzerland),USDTWD (Taiwan),USDTHB (Thailand),USDTRY (Turkey),USDAED (United Arab Emirates),GBPUSD (United Kingdom),USDVES (Venezuela),DXY In (United States)
03/01/2000,100,89.93055556,#N/A N/A,43.01075269,44.83516484,13.01369863,0,80,20.86330935,64.36781609,6.134969325,18.98058252,#N/A N/A,80.98591549,97.91666667,42.58064516,33.11258278,79.98061076,25.71428571,0,5.62248996,100,75.85438336,93.05912596,4.054054054,96.77419355,5.494505495,19.83122363,61.42857143,81.50594452,72.85067873,60,99.18699187,1.465201465,24.08256881,41.65316045,12.79069767,15.26923077,28.94736842,9.047619048,10.40723982,79.86577181,77.77777778,91.41414141,100,1.185770751
04/01/2000,80,77.77777778,#N/A N/A,77.41935484,0,26.71232877,10.32490975,86.66666667,64.02877698,5.297351324,16.07361963,12.97016861,#N/A N/A,86.2804878,100,8.93081761,25,67.8623364,50,3.20855615,76.70682731,100,100,78.66323907,33.94613083,86.42857143,4.62962963,18.07313643,61.42857143,100,86.42533937,60,#N/A N/A,25.06963788,9.879032258,16.20111732,7.567380788,16.92307692,10.22044088,5.087440382,22.19387755,62.75862069,74.07407407,87.16707022,100,14.7601476
05/01/2000,100,87.84722222,#N/A N/A,64.51612903,2.014652015,20.3196347,14.44043321,80,100,8.920187793,0,19.97808619,#N/A N/A,78.97435897,100,20.25450689,27.84090909,60.59137179,55.71428571,27.40641711,91.58576052,90,87.38680466,80.71979434,32.2787516,84.28571429,40.86538462,19.47960619,62.85714286,100,63.80090498,60,#N/A N/A,28.6908078,14.16364578,3.206412826,49.89633725,17.21281959,9.628378378,20.11128776,19.09814324,61.70212766,74.07407407,94.45676275,100,22.25913621
06/01/2000,80,71.875,#N/A N/A,68.30601093,2.086956522,42.92237443,0,73.33333333,100,8.364389234,0,20.92776204,#N/A N/A,78.55361596,100,21.43600416,36.93181818,84.8279205,78.57142857,30.7486631,91.80327869,38.46153846,90.29754204,66.32390746,31.85121847,70,79.22705314,8.933717579,61.42857143,93.54460094,82.35294118,60,#N/A N/A,48.74651811,11.91092698,13.62725451,90.4975812,23.87554954,17.39864865,26.86804452,40.31830239,55.11811024,74.07407407,93.1237721,100,25.58139535
07/01/2000,100,77.43055556,#N/A N/A,56.47058824,20.69565217,33.56164384,0,53.33333333,72.95373665,34.16149068,0,27.33711048,71.51162791,70.32418953,98.2300885,29.55254943,40.90909091,88.5668277,61.42857143,39.63903743,87.4186551,38.46153846,85.44631307,73.77892031,45.87430526,72.85714286,63.28502415,7.968574635,61.42857143,97.30046948,82.35294118,70,0,39.83286908,19.03158985,7.725321888,49.91413852,39.02603991,36.65540541,26.709062,25.19893899,63.47031963,68.18181818,77.21021611,100,33.55481728
10/01/2000,80,80.44280443,#N/A N/A,44.17177914,28.34782609,33.56164384,0,53.33333333,76.51245552,49.77225673,8.839779006,38.66855524,69.96124031,60.59850374,100,40.79084287,55.68181818,83.19914117,64.28571429,9.826203209,83.51409978,76.92307692,54.72186287,67.4863388,61.86404446,70,53.92156863,8.423913043,61.42857143,98.82629108,88.18681319,60,99.02439024,40.38997214,24.52097359,22.74678112,37.75042931,49.78018262,44.76351351,24.88076312,25.06738544,70.37037037,76.19047619,73.47740668,100,42.52491694
11/01/2000,80,86.71586716,#N/A N/A,53.37423313,18.43478261,36.52968037,0,60,72.95373665,39.79296066,0,17.31586402,71.51162791,80.54862843,100,24.14151925,31.81818182,78.87323944,100,5.327039784,92.61477046,76.92307692,68.46701164,73.49726776,39.03377512,68.57142857,88.37209302,13.89578164,61.42857143,96.47887324,69.54314721,70,99.02439024,61.28133705,11.18591403,37.76824034,74.24155695,32.2962462,26.01351351,24.40381558,47.70889488,65.53398058,71.42857143,93.32023576,100,28.23920266
12/01/2000,100,89.69465649,#N/A N/A,60.12269939,24.86956522,30.4245283,0,66.66666667,84.46026097,47.66045549,10.1369863,25.73582197,61.62790698,73.35025381,100,33.92299688,13.63636364,90.75439592,76,14.4549763,89.42115768,69.23076923,71.53945666,74.54545455,43.79960317,68.18181818,84.33179724,16.17647059,86,96.09756098,74.61928934,70,99.10569106,70,19.41998964,14.16309013,69.23297081,38.1439245,32.93918919,24.80127186,44.9704142,66.01941748,76.19047619,91.55206287,100,33.7037037
13/01/2000,80,97.10144928,#N/A N/A,42.08588957,24.52173913,23.07692308,0,80,100,47.37060041,31.96347032,38.44221106,71.51162791,60.40609137,99.18699187,38.60561915,31.69014085,96.68508287,73.33333333,6.042654028,97.00598802,76.92307692,60.38163001,82.0083682,37.15277778,51.23966942,80.64516129,20,86,100,71.40439932,70,99.02439024,74.82993197,24.02900052,11.92825112,43.47452776,45.3008258,48.14189189,25.43720191,39.05325444,75.72815534,75,92.73084479,100,47.77777778
14/01/2000,100,89.13043478,#N/A N/A,30.67484663,27.82608696,21.15384615,0,73.33333333,100,#N/A N/A,64.38356164,74.33596554,#N/A N/A,25.88832487,97.6,70.96774194,61.26760563,80.11049724,46.13333333,6.63507109,89.76377953,38.46153846,48.35058215,73.22175732,63.74007937,24.10714286,79.7235023,26.69039146,86,54.3030303,71.40439932,70,99.02439024,95.86206897,51.21698602,21.52466368,0,68.26582776,87.16216216,26.62957075,47.84172662,98.27586207,75,59.83606557,100,74.44444444
17/01/2000,80,82.95454545,#N/A N/A,15.95092025,83.82608696,21.15869018,0,46.66666667,100,99.50310559,74.70319635,74.7666906,71.51162791,25.88832487,96.875,83.35067638,75.53956835,88.39779006,86.66666667,4.479166667,70.66929134,69.23076923,39.03622251,58.58585859,78.57142857,16.32653061,76.49769585,30.98039216,92,96.01494396,71.7428088,60,#N/A N/A,96.55172414,63.87881926,24.66367713,8,66.95191524,88.01996672,26.86804452,52.22672065,84.02366864,70,61.23348018,100,80.46875
18/01/2000,80,87.30769231,#N/A N/A,16.56441718,79.47826087,25.47425474,15.60574949,46.66666667,100,91.96687371,62.83105023,70.24407753,71.51162791,29.69543147,93.28358209,77.00312175,81.1023622,66.66666667,86.66666667,1.042442293,85.82677165,76.92307692,31.85640362,27.81456954,54.86111111,22.44897959,80.1843318,39.21568627,86,97.50933998,70.3891709,70,99.02439024,94.82758621,52.66701191,38.56502242,24,64.26242869,80.69883527,26.07313196,45.99156118,83.43949045,75,71.30242826,100,83.984375
19/01/2000,100,81.15384615,#N/A N/A,14.72392638,80.69565217,30.02754821,21.23287671,73.33333333,78.70722433,94.94824017,69.8630137,71.14142139,#N/A N/A,28.68020305,94.02985075,77.9396462,76.33587786,80,91.29411765,28.28507795,78.93700787,76.92307692,32.86206897,9.722222222,59.375,40.81632653,89.40092166,49.25490196,86,99.750934,68.02030457,70,99.02439024,93.24758842,60.64215432,57.21973094,42.66666667,70.98614507,83.19467554,26.07313196,50,85.35031847,40.54054054,86.43678161,100,80.078125
20/01/2000,45.45454545,88.84615385,#N/A N/A,9.248554913,79.82608696,18.12297735,21.1136891,53.33333333,98.47908745,97.59834369,60.456621,62.27566403,#N/A N/A,37.56345178,90.32258065,77.31529657,75.57251908,97.82608696,76.47058824,23.91304348,81.56312625,0,34.94423792,14,46.03174603,40.81632653,84.79262673,37.39130435,84.44444444,100,67.29776248,70,99.02439024,84.5659164,52.20093216,44.21524664,21.33333333,61.40994295,69.21797005,28.64864865,44.09090909,85.35031847,39.47368421,92.77899344,100,64.453125
21/01/2000,27.27272727,77.60617761,#N/A N/A,0,88.34782609,12.30283912,19.76495726,60,99.23954373,100,74.42922374,81.08399139,#N/A N/A,19.79695431,92.98245614,85.95213319,80.15267176,81.30434783,90.58823529,40.02998501,67.73547094,62.5,46.76579926,9.497206704,64.13690476,28.57142857,80.64516129,36.95652174,84.44444444,100,66.60929432,60,99.02439024,96.20991254,64.37079234,75.33632287,26.66666667,74.61287694,88.68552413,27.79783394,39.09090909,95.0617284,42.10526316,80.60344828,100,82.03125
