Indicator:,USDARS (Argentina),AUDUSD (Australia),USDBAM (Bosnia & Herzegovina),USDBRL (Brazil),USDBGN (Bulgaria),USDCAD (Canada),USDCLP (Chile),USDCNY (China),USDCOP (Colombia),USDHRK (Croatia),USDCZK (Czech Republic),USDDKK (Denmark),USDEGP (Egypt),EURUSD (Eurozone),USDHKD (Hong Kong),USDHUF (Hungary),USDISK (Iceland),USDINR (India),USDIDR (Indonesia),USDILS (Israel),USDJPY (Japan),USDMYR (Malaysia),USDMXN (Mexico),NZDUSD (New Zealand),USDNOK (Norway),USDPEN (Peru),USDPHP (Philippines),USDPLN (Poland),USDQAR (Qatar),USDRON (Romania),USDRUB (Russia),USDSAR (Saudi Arabia),USDRSD (Serbia),USDSGD (Singapore),USDSKK (Slovakia),USDZAR (South Africa),USDKRW (South Korea),USDSEK (Sweden),USDCHF (Switzerland),USDTWD (Taiwan),USDTHB (Thailand),USDTRY (Turkey),USDAED (United Arab Emirates),GBPUSD (United Kingdom),USDVES (Venezuela),DXY In (United States)
Last Price,120.47,0.73,1.82,4.80,1.82,1.26,813.09,6.66,3774.09,7.01,22.96,6.92,18.65,1.07,7.84,366.67,127.59,77.61,14480.00,3.32,129.84,4.39,19.53,0.66,9.37,3.70,52.79,4.26,3.66,4.60,63.65,3.75,109.22,1.37,28.03,15.47,1252.07,9.71,0.96,29.35,34.25,16.47,3.67,1.26,5.05,101.82
Technical trend 6-12 months,Upward,Lateral,Lateral,Downward,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Upward,Lateral,Lateral,Upward,Lateral,Upward,Lateral,Lateral,Upward,Upward,Downward,Lateral,Lateral,Downward,Upward,Lateral,Lateral,Lateral,Downward,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Upward,Lateral,Lateral,Lateral,Lateral
Short-term technical trend:,Upward,Upward,Downward,Lateral,Downward,Downward,Downward,Downward,Downward,Downward,Downward,Downward,Upward,Upward,Downward,Lateral,Downward,Upward,Downward,Downward,Lateral,Lateral,Downward,Upward,Downward,Lateral,Upward,Downward,Lateral,Downward,Lateral,Lateral,Downward,Downward,Downward,Downward,Lateral,Downward,Downward,Lateral,Lateral,Upward,Downward,Lateral,Upward,Downward
1M Change %,3.96,2.38,-2.03,-3.33,-2.09,-2.11,-4.99,0.78,-6.27,-2.42,-1.98,-2.12,0.92,2.15,-0.03,1.26,-2.59,1.24,-0.14,-0.68,-0.23,0.83,-3.77,1.90,-0.29,-3.05,0.66,-4.46,0.09,-2.20,-6.94,0.00,-2.18,-0.99,-2.11,-1.97,-1.23,-1.74,-2.07,-0.64,-0.29,11.15,0.00,0.63,12.21,-1.59
3M Change %,11.61,-0.44,3.47,-5.98,3.49,-0.48,0.99,5.37,-1.70,3.04,-0.13,3.44,18.68,-3.35,0.41,7.72,-0.88,2.51,0.63,3.16,12.40,4.65,-5.31,-3.36,5.86,-1.32,2.64,-0.09,0.18,3.35,-37.81,-0.03,3.40,1.21,3.47,0.97,3.82,0.32,4.11,4.60,5.28,17.43,0.00,-6.18,15.48,4.56
YTD Change %,17.26,0.03,5.43,-13.90,5.85,-0.53,-4.55,4.79,-7.15,6.03,4.95,5.82,18.66,-5.48,0.62,13.01,-1.71,4.41,1.52,7.13,12.83,5.35,-4.89,-3.91,6.27,-7.45,3.52,5.59,-0.39,5.65,-15.33,-0.12,5.64,1.60,5.79,-2.95,5.23,7.22,4.95,6.06,3.13,23.80,0.00,-7.05,10.08,6.43
,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:,Moving Averages:
5d,120.29,0.72,1.82,4.78,1.82,1.26,820.91,6.67,3787.10,7.02,23.04,6.93,18.61,1.07,7.85,368.49,127.69,77.59,14516.40,3.33,129.28,4.38,19.60,0.65,9.41,3.70,52.57,4.28,3.66,4.61,63.17,3.75,109.46,1.37,28.08,15.53,1243.31,9.76,0.96,29.17,34.26,16.44,3.67,1.26,5.04,101.93
10d,119.76,0.72,1.82,4.79,1.83,1.27,824.70,6.68,3867.85,7.03,23.03,6.94,18.58,1.07,7.85,365.77,128.45,77.57,14571.30,3.34,128.27,4.39,19.69,0.65,9.48,3.70,52.45,4.28,3.66,4.61,62.08,3.75,109.58,1.37,28.10,15.61,1253.53,9.79,0.96,29.33,34.22,16.31,3.67,1.26,4.97,101.91
30d,117.63,0.71,1.85,4.94,1.85,1.28,844.66,6.68,3978.31,7.12,23.33,7.02,18.47,1.06,7.85,363.19,130.52,77.21,14552.90,3.36,128.93,4.38,20.04,0.64,9.53,3.76,52.41,4.39,3.66,4.67,66.05,3.75,110.92,1.38,28.43,15.84,1264.30,9.89,0.98,29.51,34.38,15.57,3.67,1.25,4.71,102.93
