Date,USDARS (Argentina),AUDUSD (Australia),USDBAM (Bosnia & Herzegovina),USDBRL (Brazil),USDBGN (Bulgaria),USDCAD (Canada),USDCLP (Chile),USDCNY (China),USDCOP (Colombia),USDHRK (Croatia),USDCZK (Czech Republic),USDDKK (Denmark),USDEGP (Egypt),EURUSD (Eurozone),USDHKD (Hong Kong),USDHUF (Hungary),USDISK (Iceland),USDINR (India),USDIDR (Indonesia),USDILS (Israel),USDJPY (Japan),USDMYR (Malaysia),USDMXN (Mexico),NZDUSD (New Zealand),USDNOK (Norway),USDPEN (Peru),USDPHP (Philippines),USDPLN (Poland),USDQAR (Qatar),USDRON (Romania),USDRUB (Russia),USDSAR (Saudi Arabia),USDRSD (Serbia),USDSGD (Singapore),USDSKK (Slovakia),USDZAR (South Africa),USDKRW (South Korea),USDSEK (Sweden),USDCHF (Switzerland),USDTWD (Taiwan),USDTHB (Thailand),USDTRY (Turkey),USDAED (United Arab Emirates),GBPUSD (United Kingdom),USDVES (Venezuela),
03/01/2000,#N/A N/A,9.8,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,5.55,10.25,5,6.5,#N/A N/A,11.9,#N/A N/A,#N/A N/A,11.625,0.85,#N/A N/A,#N/A N/A,5,23.5,6.1,14.35,#N/A N/A,10.7,11.6,11,#N/A N/A,11,11.625,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.25,11,11.15,11.95,3.5,10.375,10.5,#N/A N/A,8.75,#N/A Invalid Security,11.0924
04/01/2000,#N/A N/A,9.4,,#N/A N/A,,5.85,8.88,4,6.5,#N/A N/A,11.5,#N/A N/A,#N/A N/A,12.05,0.85,#N/A N/A,#N/A N/A,5,26,6.1,12.9,#N/A N/A,11.7,10.9,11.75,#N/A N/A,12,11.625,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.5,10.75,12.05,12.65,5,10.75,10.5,#N/A N/A,8.7,,11.2243
05/01/2000,#N/A N/A,9.35,,#N/A N/A,,6.15,9.5,4,6.5,#N/A N/A,11.5,#N/A N/A,#N/A N/A,11.75,0.9,#N/A N/A,#N/A N/A,5,26,6.1,12.6,#N/A N/A,12.2,10.825,11.65,#N/A N/A,12,12.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.675,10.875,11.95,12.25,5.4,11,10.5,#N/A N/A,8.525,,10.9986
06/01/2000,#N/A N/A,9.1,,#N/A N/A,,6.15,7.75,4,7,#N/A N/A,11.375,#N/A N/A,#N/A N/A,11.63,0.9,#N/A N/A,#N/A N/A,5,26,6.1,13.325,#N/A N/A,12.2,10.65,10.85,#N/A N/A,12,12.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.85,10.75,11.15,11.85,4.625,11.25,10.5,#N/A N/A,8.2,,10.9414
07/01/2000,#N/A N/A,9.1,,#N/A N/A,,6.05,8.75,4,7,#N/A N/A,12,#N/A N/A,#N/A N/A,11.38,0.9,#N/A N/A,#N/A N/A,5,26,6.1,12.75,#N/A N/A,12,10.7,10.65,#N/A N/A,12,12.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.625,12,10.95,11.55,3.025,11.125,10.5,#N/A N/A,8.35,,10.7088
10/01/2000,#N/A N/A,9.025,,#N/A N/A,,5.85,7.75,3.25,7,#N/A N/A,11.125,#N/A N/A,#N/A N/A,11.025,0.85,#N/A N/A,#N/A N/A,5,26,6.1,12.9,#N/A N/A,11.5,10.5,10.45,#N/A N/A,12,12.25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.75,11.625,10.65,11.35,4,10.625,10.5,#N/A N/A,7.8,,10.4212
11/01/2000,#N/A N/A,9,,#N/A N/A,,5.85,7.75,3.25,7,#N/A N/A,11.75,#N/A N/A,#N/A N/A,11.025,0.9,#N/A N/A,#N/A N/A,5,26,6.1,12.55,#N/A N/A,11.5,9.6,10.45,#N/A N/A,11.5,11.875,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.7,11.375,10.65,11.35,3.975,10.85,10.5,#N/A N/A,7.85,,10.3796
12/01/2000,#N/A N/A,9.075,,#N/A N/A,,5.55,8.63,3.25,9,#N/A N/A,11.125,#N/A N/A,#N/A N/A,11.025,0.8,#N/A N/A,#N/A N/A,5,25,6.1,12.5,#N/A N/A,12.5,10.25,10.45,#N/A N/A,11.5,12.125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.75,11.375,10.65,11.25,4.3,11.75,10.5,#N/A N/A,7.9,,10.3479
13/01/2000,#N/A N/A,9.5,,#N/A N/A,,5.55,9.63,3.25,9,#N/A N/A,11.125,#N/A N/A,#N/A N/A,10.5,0.75,#N/A N/A,#N/A N/A,5,25,6.4,12.75,#N/A N/A,12,10.25,10.15,#N/A N/A,11.5,12.125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,7,11.375,10.35,11.05,2.05,11.375,10.5,#N/A N/A,7.85,,10.0537
14/01/2000,#N/A N/A,9.3,,#N/A N/A,,5.45,8.25,3.25,9,#N/A N/A,11.25,#N/A N/A,#N/A N/A,10.45,0.7,#N/A N/A,#N/A N/A,5,24,6.4,12.55,#N/A N/A,11.5,10.5,9.85,#N/A N/A,11.25,11.25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.95,11.25,10.15,10.75,4.15,10.725,10.5,#N/A N/A,7.65,,9.9456
